Bit Position,Accuracy
Bit 0,0.5082
Bit 1,0.4995
Bit 2,0.5074
Bit 3,0.4974
Bit 4,0.5013
Bit 5,0.508
Bit 6,0.493
Bit 7,0.4946
Bit 8,0.496
Bit 9,0.4979
Bit 10,0.5012
Bit 11,0.4994
Bit 12,0.4995
Bit 13,0.4978
Bit 14,0.505
Bit 15,0.5043
Bit 16,0.4957
Bit 17,0.4984
Bit 18,0.5004
Bit 19,0.5074
Bit 20,0.5013
Bit 21,0.4986
Bit 22,0.4969
Bit 23,0.4986
Bit 24,0.4964
Bit 25,0.5013
Bit 26,0.5065
Bit 27,0.4906
Bit 28,0.5028
Bit 29,0.5096
Bit 30,0.4969
Bit 31,0.5031
Bit 32,0.5002
Bit 33,0.506
Bit 34,0.4925
Bit 35,0.5037
Bit 36,0.5041
Bit 37,0.5078
Bit 38,0.5046
Bit 39,0.5082
Bit 40,0.4954
Bit 41,0.4958
Bit 42,0.4984
Bit 43,0.5026
Bit 44,0.4959
Bit 45,0.5017
Bit 46,0.4962
Bit 47,0.5054
Bit 48,0.4989
Bit 49,0.5054
Bit 50,0.4975
Bit 51,0.4962
Bit 52,0.4965
Bit 53,0.4953
Bit 54,0.504
Bit 55,0.4949
Bit 56,0.4998
Bit 57,0.5004
Bit 58,0.5016
Bit 59,0.5005
Bit 60,0.5097
Bit 61,0.4971
Bit 62,0.4944
Bit 63,0.5105
