Bit Position,Accuracy
Bit 0,0.4965
Bit 1,0.497
Bit 2,0.4911
Bit 3,0.4952
Bit 4,0.4999
Bit 5,0.4909
Bit 6,0.5024
Bit 7,0.5016
Bit 8,0.4987
Bit 9,0.4946
Bit 10,0.5008
Bit 11,0.4959
Bit 12,0.4999
Bit 13,0.4995
Bit 14,0.5028
Bit 15,0.5003
Bit 16,0.4941
Bit 17,0.5068
Bit 18,0.4994
Bit 19,0.4916
Bit 20,0.5064
Bit 21,0.5055
Bit 22,0.5041
Bit 23,0.4987
Bit 24,0.492
Bit 25,0.4914
Bit 26,0.4924
Bit 27,0.5003
Bit 28,0.5033
Bit 29,0.4998
Bit 30,0.5106
Bit 31,0.498
Bit 32,0.4964
Bit 33,0.488
Bit 34,0.498
Bit 35,0.4892
Bit 36,0.5105
Bit 37,0.5002
Bit 38,0.5002
Bit 39,0.4957
Bit 40,0.4935
Bit 41,0.5036
Bit 42,0.4997
Bit 43,0.4988
Bit 44,0.4976
Bit 45,0.5029
Bit 46,0.5016
Bit 47,0.4986
Bit 48,0.4935
Bit 49,0.4978
Bit 50,0.4941
Bit 51,0.5124
Bit 52,0.5122
Bit 53,0.5122
Bit 54,0.4964
Bit 55,0.6486
Bit 56,0.714
Bit 57,0.6573
Bit 58,0.6489
Bit 59,0.849
Bit 60,0.9185
Bit 61,0.8516
Bit 62,0.8554
Bit 63,0.8535
